"행정구역(시군구)별",2018. 07,2018. 07,2018. 07,2018. 07,2018. 07,2018. 07,2018. 07,2018. 07,2018. 08,2018. 08,2018. 08,2018. 08,2018. 08,2018. 08,2018. 08,2018. 08,2018. 09,2018. 09,2018. 09,2018. 09,2018. 09,2018. 09,2018. 09,2018. 09
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"전국",568604,568604,0,218934,161972,161972,187698,187698,592108,592108,0,220591,169898,169898,201619,201619,462112,462112,0,179201,132005,132005,150906,150906
"서울특별시",112580,121981,-9401,34265,43135,43135,35180,44581,117300,126268,-8968,34430,44057,44057,38813,47781,92262,100223,-7961,28048,34843,34843,29371,37332
"부산광역시",33669,36040,-2371,11119,14563,14563,7987,10358,33825,35865,-2040,10141,14686,14686,8998,11038,25264,26627,-1363,7723,10993,10993,6548,7911
"대구광역시",24368,25312,-944,9021,8979,8979,6368,7312,25783,27367,-1584,9095,9843,9843,6845,8429,22128,23135,-1007,8159,8835,8835,5134,6141
"인천광역시",32372,33017,-645,11938,9405,9405,11029,11674,31146,32260,-1114,10991,8840,8840,11315,12429,24293,24939,-646,8673,6963,6963,8657,9303
"광주광역시",17701,17392,309,6334,5661,5661,5706,5397,18135,18102,33,6489,5620,5620,6026,5993,14792,14607,185,5467,4823,4823,4502,4317
"대전광역시",18149,18248,-99,5677,5921,5921,6551,6650,18280,19199,-919,5545,5883,5883,6852,7771,13023,13820,-797,4076,4190,4190,4757,5554
"울산광역시",10120,11135,-1015,3747,3375,3375,2998,4013,10043,11223,-1180,3308,3435,3435,3300,4480,7346,8205,-859,2607,2521,2521,2218,3077
"세종특별자치시",7101,4954,2147,2707,0,0,4394,2247,7490,4782,2708,2520,0,0,4970,2262,6082,3816,2266,2212,0,0,3870,1604
"경기도",159655,144748,14907,60706,45172,45172,53777,38870,171979,155741,16238,64707,50075,50075,57197,40959,135423,123587,11836,53474,38365,38365,43584,31748
"강원도",17393,17704,-311,8592,2855,2855,5946,6257,16510,16925,-415,7802,2712,2712,5996,6411,13650,13450,200,6677,2132,2132,4841,4641
"충청북도",15097,14754,343,6913,1955,1955,6229,5886,16365,16302,63,7895,2118,2118,6352,6289,14140,13837,303,7809,1549,1549,4782,4479
"충청남도",23667,23416,251,11082,3309,3309,9276,9025,23523,22710,813,10008,3405,3405,10110,9297,18078,17716,362,8101,2627,2627,7350,6988
"전라북도",17971,19355,-1384,9571,4058,4058,4342,5726,18869,20130,-1261,9652,4368,4368,4849,6110,14529,15230,-701,7745,3198,3198,3586,4287
"전라남도",16616,17929,-1313,6608,3522,3522,6486,7799,18159,19723,-1564,7244,4111,4111,6804,8368,13200,14539,-1339,5229,3057,3057,4914,6253
"경상북도",23027,24148,-1121,10751,3695,3695,8581,9702,24663,25616,-953,10840,4236,4236,9587,10540,19071,19312,-241,8645,3193,3193,7233,7474
"경상남도",31145,31427,-282,16006,5606,5606,9533,9815,32010,32641,-631,16131,5760,5760,10119,10750,22885,23590,-705,11471,4226,4226,7188,7893
"제주특별자치도",7973,7044,929,3897,761,761,3315,2386,8028,7254,774,3793,749,749,3486,2712,5946,5479,467,3085,490,490,2371,1904
